class,url,impressions_90d
a_country_or_landing,/abkhazia/,26
a_country_or_landing,/armenia/,16
a_country_or_landing,/azerbaijan/,2
a_country_or_landing,/egypt/,41
a_country_or_landing,/ekskursionnye-tury-v-gruziyu/,6
a_country_or_landing,/en/adjara/,140
a_country_or_landing,/en/armenia/,11
a_country_or_landing,/en/azerbaijan/,64
a_country_or_landing,/en/cyprus/,22
a_country_or_landing,/en/destinations/,47
a_country_or_landing,/en/egypt/,8
a_country_or_landing,/en/faq/,61
a_country_or_landing,/en/interpreter-and-support-georgia/,8
a_country_or_landing,/en/maldives/,33
a_country_or_landing,/en/mtskheta-mtianeti/,287
a_country_or_landing,/en/racha/,49
a_country_or_landing,/en/samtskhe-javakheti/,25
a_country_or_landing,/en/shida-kartli/,99
a_country_or_landing,/en/thailand/,63
a_country_or_landing,/en/turkey/,18
a_country_or_landing,/en/uae/,6
a_country_or_landing,/en/vietnam/,18
a_country_or_landing,/en/wine-tours-georgia/,138
a_country_or_landing,/ge/adjara/,33
a_country_or_landing,/ge/contacts/,5
a_country_or_landing,/ge/ekskursionnye-tury-v-gruziyu/,20
a_country_or_landing,/ge/faq/,20
a_country_or_landing,/ge/gornye-tury-gruzia/,22
a_country_or_landing,/ge/guria/,196
a_country_or_landing,/ge/individualnyy-tur-v-gruziyu/,5
a_country_or_landing,/ge/interpreter-and-support-georgia/,0
a_country_or_landing,/ge/kakheti/,103
a_country_or_landing,/ge/mnogodnevnye-tury-gruzia/,7
a_country_or_landing,/ge/mtskheta-mtianeti/,66
a_country_or_landing,/ge/pogoda/,17
a_country_or_landing,/ge/privacy/,0
a_country_or_landing,/ge/private-guide-tbilisi/,8
a_country_or_landing,/ge/thailand/,64
a_country_or_landing,/ge/tury-v-batumi/,33
a_country_or_landing,/ge/tury-v-gruziyu-letom/,6
a_country_or_landing,/ge/tury-v-gruziyu-s-detmi/,25
a_country_or_landing,/ge/tury-v-gruziyu-zimoy/,7
a_country_or_landing,/ge/uae/,10
a_country_or_landing,/ge/vietnam/,28
a_country_or_landing,/ge/vip-turi-saqartveloshi/,5
a_country_or_landing,/individualnyy-tur-v-gruziyu/,120
a_country_or_landing,/kakheti/,266
a_country_or_landing,/maldives/,35
a_country_or_landing,/mtskheta-mtianeti/,255
a_country_or_landing,/napravleniya/,83
a_country_or_landing,/otdyh-v-gruzii/,133
a_country_or_landing,/perevodchik-i-soprovozhdenie-v-gruzii/,7
a_country_or_landing,/privacy/,9
a_country_or_landing,/thailand/,13
a_country_or_landing,/tury-na-kazbek/,4
a_country_or_landing,/tury-v-gruziyu-iz-kazani/,109
a_country_or_landing,/tury-v-gruziyu-iz-krasnodara/,113
a_country_or_landing,/tury-v-gruziyu-iz-mahachkaly/,104
a_country_or_landing,/tury-v-gruziyu-iz-nizhnego-novgoroda/,28
a_country_or_landing,/tury-v-gruziyu-iz-novosibirska/,53
a_country_or_landing,/tury-v-gruziyu-iz-permi/,43
a_country_or_landing,/tury-v-gruziyu-iz-rostova/,11
a_country_or_landing,/tury-v-gruziyu-iz-saratova/,21
a_country_or_landing,/tury-v-gruziyu-iz-spb/,101
a_country_or_landing,/tury-v-gruziyu-iz-stavropolya/,42
a_country_or_landing,/tury-v-gruziyu-iz-tyumeni/,34
a_country_or_landing,/tury-v-gruziyu-iz-vladikavkaza/,157
a_country_or_landing,/tury-v-gruziyu-iz-volgograda/,4
a_country_or_landing,/tury-v-gruziyu-s-detmi/,37
a_country_or_landing,/tury-v-gruziyu-zimoy/,17
a_country_or_landing,/tury-v-svaneti/,83
a_country_or_landing,/tury-v-tbilisi/,41
a_country_or_landing,/uae/,59
a_country_or_landing,/vietnam/,20
b_tour_has_impr,/ekskursiya/ekskursiya-david-gareji/,80
b_tour_has_impr,/ekskursiya/ekskursiya-gudauri-iz-tbilisi/,83
b_tour_has_impr,/ekskursiya/ekskursiya-sighnaghi-iz-tbilisi/,114
b_tour_has_impr,/ekskursiya/pohod-v-gory-gruzia/,63
b_tour_has_impr,/ekskursiya/tur-gruziya-10-dney/,115
b_tour_has_impr,/ekskursiya/tur-gruziya-5-dney/,153
b_tour_has_impr,/ekskursiya/tur-gruziya-armeniya/,246
b_tour_has_impr,/ekskursiya/tur-vsya-gruziya/,325
b_tour_has_impr,/ekskursiya/vinniy-tur-tbilisi/,41
b_tour_has_impr,/en/ekskursiya/ekskursii-iz-kutaisi/,100
b_tour_has_impr,/en/ekskursiya/ekskursiya-abanotubani/,464
b_tour_has_impr,/en/ekskursiya/ekskursiya-mtatsminda/,734
b_tour_has_impr,/en/ekskursiya/ekskursiya-sighnaghi-iz-tbilisi/,544
b_tour_has_impr,/en/ekskursiya/ekskursiya-telavi-iz-tbilisi/,238
b_tour_has_impr,/en/ekskursiya/ekskursiya-zugdidi/,352
b_tour_has_impr,/en/ekskursiya/gastronomicheskiy-tur-tbilisi/,335
b_tour_has_impr,/en/ekskursiya/gruppa-10-chelovek-tbilisi/,95
