impr,lang,query,blog,blog_pos,tour,tour_pos
3586,en,narikala fortress,/en/blog/best-restaurants-tbilisi/,2,/en/ekskursiya/ekskursiya-narikala/,49.2
2766,en,tbilisi to kazbegi,/en/blog/tbilisi-3-day-itinerary/,2,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,55
2579,ge,მარტვილის კანიონი ფასები 2026,/ge/blog/martvili-canyon/#getting,2.1,/ge/ekskursiya/ekskursiya-kanyony-zapadnoy-gruzii/,29.7
1855,ru,ureki beach,/blog/ureki-plyazh/,3,/en/ekskursiya/ekskursiya-ureki-iz-tbilisi/,16.4
1830,en,მარტვილის კანიონი,/en/blog/martvili-canyon/,5.2,/en/ekskursiya/ekskursiya-kanyony-zapadnoy-gruzii/,19
1693,en,tbilisi to batumi,/en/blog/tbilisi-neighborhoods-where-to-stay/,2,/ekskursiya/tur-batumi-iz-tbilisi/,85.7
1481,en,transfer from tbilisi to kazbegi,/en/blog/transfer-tbilisi-to-kazbegi/#marshrutka,6.0,/en/ekskursiya/kazbegi-transfer-from-tbilisi/,17.7
1124,en,ურეკი,/en/blog/ureki-beach/,2.6,/en/ekskursiya/ekskursiya-ureki-iz-tbilisi/,4
1087,en,narikala,/en/blog/botanical-garden-tbilisi/,2,/en/ekskursiya/ekskursiya-narikala/,12.6
1056,ru,какое море в грузии,/blog/chernoe-more-gruzii,1,/ekskursiya/tur-batumi-iz-tbilisi/,9
987,en,truso valley,/en/blog/things-to-see-kazbegi/,3,/en/ekskursiya/hayking-truso-iz-kazbegi/,53.3
857,en,how to get to kazbegi from tbilisi,/en/blog/transfer-tbilisi-to-kazbegi/#marshrutka,6.6,/en/ekskursiya/kazbegi-transfer-from-tbilisi/,7
852,en,tbilisi to kazbegi transfer,/en/blog/transfer-tbilisi-to-kazbegi/,5.8,/en/ekskursiya/kazbegi-transfer-from-tbilisi/,8.2
740,ru,site:sakhva-travel.com,/blog/pyatnica-v-tbilisi/,1,/individualnyy-tur-v-gruziyu/,3
705,ge,თრუსოს ხეობა გზა,/ge/blog/truso-valley-hike/#how-to-get,6.1,/ge/ekskursiya/ekskursiya-truso/,7.7
627,en,david gareja,/en/blog/david-gareja-monastery/#how-to-get,9.8,/en/ekskursiya/ekskursiya-david-gareji/,13.8
572,en,kakheti from tbilisi,/en/blog/kakheti-one-day-trip/#marani,5.0,/en/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,50.5
571,ru,грузия,/blog/chaevye-v-gruzii/,1,/ekskursiya/rtveli-sbor-vinograda/,2
515,en,david gareja monastery,/en/blog/david-gareja-monastery/#border,9.8,/en/ekskursiya/ekskursiya-david-gareji/,17.8
462,en,free local events happening this week,/en/blog/lagodekhi-national-park/,1,/en/ekskursiya/rtveli-grape-harvest/,4
428,en,david gareja monastery complex,/en/blog/david-gareja-monastery/#border,8.1,/en/ekskursiya/ekskursiya-david-gareji/,31.2
418,en,kazbegi day trip from tbilisi,/en/blog/kazbegi-day-trip-from-tbilisi/,7.4,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,88
412,ru,маршрут по грузии на 7 дней,/blog/gruziya-7-dney/#den1,3.9,/ekskursiya/tur-gruziya-7-dney/,29.1
399,en,kakheti to tbilisi,/en/blog/kakheti-one-day-trip/#marani,6.4,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,43
375,en,brutalist architecture tbilisi,/en/blog/soviet-tbilisi-tour/,8.6,/en/ekskursiya/sovetskiy-tur-tbilisi/,36
359,en,narikala fortress tbilisi,/en/blog/botanical-garden-tbilisi/,2,/en/ekskursiya/ekskursiya-narikala/,52.9
341,ru,абанотубани,/blog/sernye-bani-tbilisi/,9.5,/ekskursiya/ekskursiya-abanotubani/,17.4
