query,page,clicks,impressions,ctr,position
თბილისობა 2026,https://sakhva-travel.com/ge/blog/tbilisoba/,483,4308,0.1121,1.98
тбилисоба 2026,https://sakhva-travel.com/blog/tbilisoba/,158,1970,0.0802,3.16
მარტვილის კანიონი ფასები 2026,https://sakhva-travel.com/ge/blog/martvili-canyon/,122,678,0.1799,2.49
грузинский алфавит,https://sakhva-travel.com/blog/gruzinskiy-alfavit/,119,10567,0.0113,4.7
tbilisoba 2026,https://sakhva-travel.com/ge/blog/tbilisoba/,76,796,0.0955,1.96
თბილისი ყაზბეგი,https://sakhva-travel.com/ge/blog/transfer-tbilisi-to-kazbegi/,48,114,0.4211,1.24
tbilisoba 2026,https://sakhva-travel.com/en/blog/tbilisoba/,47,646,0.0728,3.71
თბილისობა,https://sakhva-travel.com/ge/blog/tbilisoba/,47,1665,0.0282,6.15
სადღეგრძელოები ქართულ სუფრაზე,https://sakhva-travel.com/ge/blog/georgian-toasts/,40,993,0.0403,6.42
გოგირდის აბანოების ფასი,https://sakhva-travel.com/ge/blog/sulfur-baths-tbilisi/,39,207,0.1884,5.17
спасибо по грузински,https://sakhva-travel.com/blog/gruzinskie-frazy/,37,5095,0.0073,8.52
tbilisoba,https://sakhva-travel.com/en/blog/tbilisoba/,36,572,0.0629,6.16
თბილისობა 2026 თარიღი,https://sakhva-travel.com/ge/blog/tbilisoba/,30,135,0.2222,2.24
тбилисоба 2026 когда,https://sakhva-travel.com/blog/tbilisoba/,28,344,0.0814,3.42
tbilisoba festival 2026,https://sakhva-travel.com/en/blog/tbilisoba/,27,675,0.04,4.07
грузинский алфавит на русском,https://sakhva-travel.com/blog/gruzinskiy-alfavit/,27,840,0.0321,4.26
თბილისი ყაზბეგი მარშუტკა,https://sakhva-travel.com/ge/blog/transfer-tbilisi-to-kazbegi/,27,80,0.3375,1.35
თბილისი ყაზბეგი ტრანსპორტი,https://sakhva-travel.com/ge/blog/transfer-tbilisi-to-kazbegi/,26,54,0.4815,1.13
