Account,Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Bid Strategy Max CPC,Networks,Campaign Status,Location,Location Type,Language,Ad Schedule,Ad Group,Ad Group Type,Max CPC,Keyword,Match Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Negative Keyword,Negative Match Type,Ad Type,Device Preference
700-226-1178,Sakhva_ROI_3,Search,15,Maximize clicks,0.70,Google search,Paused,Georgia,Presence,Russian,"Mon 08:00-23:00; Tue 08:00-23:00; Wed 08:00-23:00; Thu 08:00-23:00; Fri 08:00-23:00; Sat 08:00-23:00; Sun 08:00-23:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Kakheti_Vino,Standard,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Kakheti_Vino,,,винный тур кахетия,Exact,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Kakheti_Vino,,,винный тур кахетия из тбилиси,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Kakheti_Vino,,,экскурсия в кахетию,Exact,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Kakheti_Vino,,,экскурсия в кахетию из тбилиси,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Kakheti_Vino,,,дегустация вина кахетия,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Kakheti_Vino,,,кахетия с гидом из тбилиси,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Kakheti_Vino,,,винная экскурсия грузия,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Kakheti_Vino,,,,,,https://sakhva-travel.com/tour/kakheti/,Винный тур Кахетия $74,Кахетия из Тбилиси,Дегустация вин с гидом,Кахетия тур,3 винодельни за 1 день,Группа до 6 человек,Бесплатная отмена 24ч,Ответ Тимура за 15 мин,Рейтинг гида 4.9,Без переплат агрегатору,Сигнахи и монастыри,Трансфер из отеля,Дешевле чем на Tripster,Напишите в WhatsApp,Забронируйте сегодня,"Кахетия от $74/чел. 3 винодельни, дегустация. WhatsApp.",Винный тур с гидом Тимуром. Сигнахи + Бодбе + марани. До 6 чел.,Частный гид напрямую. Без комиссий. Рейтинг 4.9. Ответ за 15 минут.,Весь день в Кахетии: вино + монастыри + обед. Трансфер из отеля.,,,Responsive search ad,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Kakheti_Vino,,,,,,https://sakhva-travel.com/tour/kakheti/,Кахетия винный тур,От $74 за человека,Гид Тимур русский язык,3 винодельни за день,Сигнахи город любви,Рейтинг 4.9 на Google,Бесплатная отмена,До 6 человек в группе,Не агентство а гид,Винный тур,Дегустация квеври-вина,Ответ WhatsApp 15 мин,Трансфер из Тбилиси,Индивидуальный маршрут,Обед включён в тур,"Кахетия от $74: винодельни, дегустация, Сигнахи. Гид на русском.",Без переплат агрегаторам. Гид Тимур. Рейтинг 4.9. До 6 чел в группе.,Винный тур из Тбилиси на весь день. Трансфер. Бесплатная отмена за 24ч.,Дегустация 10+ сортов вина в семейных марани. Ответ за 15 минут.,,,Responsive search ad,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Kakheti_Vino,,,,,,https://sakhva-travel.com/tour/kakheti/,Тур в Кахетию из Тбилиси,Винная экскурсия $74,Гид Тимур 4.9 рейтинг,Кахетия,Дегустация в марани,Группа до 6 чел,Бесплатная отмена,Ответ за 15 минут,Не агрегатор а гид,WhatsApp бронирование,3 винодельни + обед,Сигнахи город любви,Трансфер из отеля,Квеври-вино 10+ сортов,Забронируйте сейчас,"Тур в Кахетию $74. Дегустация в 3 винодельнях, Сигнахи, обед. Гид Тимур.",Квеври-вино + марани + монастыри. Группа до 6 чел. WhatsApp.,Рейтинг 4.9. Трансфер из отеля. Бесплатная отмена. Ответ за 15 минут.,Целый день в Кахетии: вино + еда + история. Напишите в WhatsApp.,,,Responsive search ad,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Gid_Tbilisi,Standard,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Gid_Tbilisi,,,гид тбилиси,Exact,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Gid_Tbilisi,,,гид в тбилиси,Phrase,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Gid_Tbilisi,,,русскоязычный гид тбилиси,Exact,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Gid_Tbilisi,,,русский гид тбилиси,Phrase,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Gid_Tbilisi,,,гид водитель тбилиси,Phrase,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Gid_Tbilisi,,,гид с машиной тбилиси,Phrase,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Gid_Tbilisi,,,экскурсовод тбилиси,Phrase,https://sakhva-travel.com/chastniy-gid-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Gid_Tbilisi,,,,,,https://sakhva-travel.com/chastniy-gid-tbilisi/,Гид в Тбилиси Тимур,Русскоязычный гид,12 туров по Грузии,Гид Тбилиси,От $15 за человека,Группа до 6 человек,Бесплатная отмена 24ч,Ответ Тимура за 15 мин,Рейтинг 4.9 на Google,Без переплат агрегатору,Казбеги Кахетия Мцхета,Комфортный минивэн,Не агрегатор а гид,Напишите в WhatsApp,Забронируйте сегодня,"Гид Тимур в Тбилиси. 12 туров от $15. Казбеги, Кахетия, Мцхета.",Один проверенный гид. Рейтинг 4.9. Ответ 15 мин.,Индивидуальные экскурсии по Тбилиси и Грузии. До 6 чел. Отмена бесплатно.,Маршрут под ваши интересы и даты. Трансфер из отеля. Забронируйте.,,,Responsive search ad,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Gid_Tbilisi,,,,,,https://sakhva-travel.com/chastniy-gid-tbilisi/,Гид по Тбилиси русский,Экскурсии от $15/чел,Тимур частный гид,Рейтинг 4.9 Google,Бесплатная отмена,Ответ за 15 минут,Группа до 6 человек,Не агентство а гид,Экскурсия,Казбеги Кахетия Мцхета,12 маршрутов по Грузии,Напишите в WhatsApp,Трансфер из отеля,Индивидуальный маршрут,Забронируйте в 2 клика,Русскоязычный гид Тимур в Тбилиси. 12 маршрутов от $15.,Гид напрямую. Рейтинг 4.9. До 6 чел. Бесплатная отмена.,Экскурсии по Тбилиси и всей Грузии. Маршрут под вас. Ответ за 15 мин.,Казбеги $93. Кахетия $74. Мцхета $15. Всё включено.,,,Responsive search ad,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Gid_Tbilisi,,,,,,https://sakhva-travel.com/chastniy-gid-tbilisi/,Частный гид Тбилиси,Экскурсии по Грузии,Гид Тимур 4.9,Гид,12 маршрутов от $15,Минивэн с кондиционером,Бесплатная отмена 24ч,Напишите в WhatsApp,Не 600 гидов а один,Маршрут под вас,Казбеги Кахетия Мцхета,Ответ за 15 минут,Трансфер из отеля,Группа до 6 человек,Рейтинг 4.9 Google,Частный гид в Тбилиси. Не агрегатор. 12 маршрутов.,Один проверенный гид вместо каталога. Рейтинг 4.9. Ответ за 15 мин.,Казбеги $93. Кахетия $74. Мцхета $15. Старый Тбилиси $27.,Минивэн. Трансфер. Бесплатная отмена. Группа до 6 чел.,,,Responsive search ad,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Tur_Gruziya,Standard,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Tur_Gruziya,,,тур по грузии из тбилиси,Exact,https://sakhva-travel.com/tours/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Tur_Gruziya,,,туры по грузии из тбилиси,Phrase,https://sakhva-travel.com/tours/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Tur_Gruziya,,,экскурсии по грузии из тбилиси,Phrase,https://sakhva-travel.com/tours/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Tur_Gruziya,,,экскурсия тбилиси,Exact,https://sakhva-travel.com/tours/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Tur_Gruziya,,,экскурсии в тбилиси,Phrase,https://sakhva-travel.com/tours/,,,,,,,,,,,,,,,,,,,,,,,
700-226-1178,Sakhva_ROI_3,,,,,,,,,,,Tur_Gruziya,,,тур тбилиси,Phrase,https://sakhva-travel.com/tours/,,,,,,,,,,,,,,,,,,,,,,,
