Campaign,Campaign type,Campaign daily budget,Bid strategy type,Bid strategy max CPC,Networks,Campaign status,Location,Language,Ad schedule,Ad group,Ad group type,Default max. CPC,Keyword,Criterion Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Ad type
Sakhva_Search_Flagships,Search,10,Maximize clicks,0.50,Google search,Paused,Georgia,Russian,"Monday 06:00-23:00; Tuesday 06:00-23:00; Wednesday 06:00-23:00; Thursday 06:00-23:00; Friday 06:00-23:00; Saturday 06:00-23:00; Sunday 06:00-23:00",,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,Standard,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,казбеги из тбилиси,Exact,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,экскурсия в казбеги,Exact,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,экскурсия в казбеги из тбилиси,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,тур в казбеги,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,казбеги с гидом,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,казбеги частный тур,Exact,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,казбеги однодневная экскурсия,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,казбеги на машине из тбилиси,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,военно грузинская дорога экскурсия,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,казбеги экскурсия из тбилиси,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,,,,https://sakhva-travel.com/tour/kazbegi/,Казбеги из Тбилиси — $93,Гид Тимур на русском,Экскурсия в Казбеги,Гергети + Ананури + Жинвали,Группа до 6 человек,Бесплатная отмена 24ч,Ответ в WhatsApp 15 мин,Рейтинг 4.9 Google,Без комиссий агрегатора,Трансфер из вашего отеля,Минивэн с кондиционером,Военно-грузинская дорога,На 20% дешевле Tripster,Забронируйте в WhatsApp,Осталось 3 даты на неделю,"Казбеги $93 за группу до 6 чел. Гергети, Ананури, Жинвали. Гид Тимур. WhatsApp.",Частный тур без посредников. Рейтинг 4.9. Трансфер из отеля. Отмена бесплатно.,Не автобус на 40 чел. Ваша группа ваш темп. Минивэн. Ответ за 15 минут.,Степанцминда + Гергети + Ананури за 1 день. Напишите Тимуру в WhatsApp.,Responsive search ad
Sakhva_Search_Flagships,,,,,,,,,,Kazbegi,,,,,,https://sakhva-travel.com/tour/kazbegi/,Казбеги всего $93 за группу,Дешевле Tripster на 20%,Частный тур в Казбеги,€45 с человека,Гид Тимур 4.9 рейтинг,Без комиссий агрегатора,Трансфер включён,Бесплатная отмена,Полный день до вечера,Ответ Тимура за 15 мин,Группа до 6 человек,Напишите в WhatsApp,Фиксированная цена,Военно-грузинская дорога,Забронируйте сегодня,"Казбеги $93 за всю группу. На Tripster тот же тур от $120. Гид напрямую.",Фиксированная цена за группу не за человека. 2 чел = $47/чел. WhatsApp.,"Весь день: Тбилиси Ананури Жинвали Степанцминда Гергети Тбилиси.",Частный гид Тимур. Рейтинг 4.9 Google. 500+ туристов. Ответ за 15 минут.,Responsive search ad
Sakhva_Search_Flagships,,,,,,,,,,Kakheti_Wine,Standard,0.40,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kakheti_Wine,,,винный тур кахетия,Exact,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kakheti_Wine,,,кахетия экскурсия,Exact,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kakheti_Wine,,,кахетия из тбилиси,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kakheti_Wine,,,винный тур грузия,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kakheti_Wine,,,экскурсия в кахетию из тбилиси,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kakheti_Wine,,,дегустация вина кахетия,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_Flagships,,,,,,,,,,Kakheti_Wine,,,кахетия с гидом,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,
