Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Bid Strategy Max CPC,Networks,Campaign Status,Location,Location Type,Language,Ad Schedule,Ad Group,Ad Group Type,Max CPC,Keyword,Keyword Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Negative Keyword,Negative Keyword Type,Ad Type,Device Preference
Sakhva_Search_ROI,Search,20,Maximize Clicks,0.80,Search,Active,Georgia,Presence,Russian,Mon 09:00-22:00; Tue 09:00-22:00; Wed 09:00-22:00; Thu 09:00-22:00; Fri 09:00-22:00; Sat 09:00-22:00; Sun 09:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kazbegi,Standard,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kazbegi,,,тур казбеги из тбилиси,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kazbegi,,,тур казбеги из тбилиси,Exact,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kazbegi,,,казбеги экскурсия,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kazbegi,,,казбеги экскурсия,Exact,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kazbegi,,,казбеги из тбилиси цена,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kazbegi,,,,,https://sakhva-travel.com/tour/kazbegi/,Тур в Казбеги от $93,Казбеги из Тбилиси за день,Частный гид на русском,От $93 за человека,Группа до 6 человек,Бесплатная отмена,Ответ за 15 минут,Рейтинг гида 4.9,Русскоязычный гид,Напрямую без агрегатора,Комфортный минивэн,Церковь Гергети Казбеги,{KeyWord:Тур в Казбеги},Забронируйте сегодня,Казбеги за 1 день,Тур в Казбеги от $93/чел. Гид Тимур на русском. Не агрегатор. Напишите в WhatsApp.,"Троицкая церковь, Арка Дружбы, Ананури. До 6 чел. Бесплатная отмена за 24 часа.",Забронируйте тур в Казбеги у гида. Рейтинг 4.9. Ответ за 15 минут в WhatsApp.,Тур на весь день. Трансфер из отеля. Комфортный автомобиль. От $93 за человека.,,,Responsive search ad,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kazbegi,,,,,https://sakhva-travel.com/tour/kazbegi/,Казбеги тур за 1 день,От $93 за человека,Гид Тимур на русском,Трансфер из вашего отеля,Ананури и Арка Дружбы,Рейтинг 4.9 на Google,Бесплатная отмена 24ч,Группа до 6 человек,Не агентство а гид,Индивидуальный маршрут,{KeyWord:Экскурсия},Ответ в WhatsApp 15 мин,Казбеги из Тбилиси,Весь день с гидом,Комфортный автомобиль,Тур в Казбеги от гида Тимура. $93/чел. Комфортный минивэн. WhatsApp ответ.,"Весь день: Ананури, Арка Дружбы, Троицкая церковь. До 6 чел. Отмена бесплатно.",Без переплат агрегаторам. Частный гид с авто. Рейтинг 4.9. Пишите в WhatsApp.,Казбеги за 1 день из Тбилиси. Русскоязычный гид. Трансфер из отеля. От $93.,,,Responsive search ad,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kakheti,Standard,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kakheti,,,винный тур кахетия,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kakheti,,,винный тур кахетия,Exact,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kakheti,,,экскурсия в кахетию,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kakheti,,,экскурсия в кахетию,Exact,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kakheti,,,кахетия из тбилиси,Phrase,https://sakhva-travel.com/tour/kakheti/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kakheti,,,,,https://sakhva-travel.com/tour/kakheti/,Винный тур в Кахетию,Кахетия от $74 за чел,Дегустация грузинских вин,Частный гид на русском,Группа до 6 человек,Бесплатная отмена 24ч,Ответ за 15 минут,Рейтинг гида 4.9,Русскоязычный гид,Напрямую без агрегатора,Трансфер из отеля,3 винодельни за 1 день,{KeyWord:Винный тур},Забронируйте в WhatsApp,Кахетия за 1 день,Винный тур в Кахетию от $74/чел. Гид Тимур. 3 винодельни. Напишите в WhatsApp.,Дегустация лучших грузинских вин. До 6 чел. Бесплатная отмена. Рейтинг 4.9.,Забронируйте винный тур у гида. Без переплат агрегаторам. Ответ за 15 минут.,"Весь день в Кахетии: винодельни, монастыри, обед. Комфортный авто. От $74.",,,Responsive search ad,
Sakhva_Search_ROI,,,,,,,,,,,AG_Kakheti,,,,,https://sakhva-travel.com/tour/kakheti/,Кахетия винный тур,От $74 за человека,Гид Тимур на русском,3 винодельни за день,Сигнахи и Бодбе,Рейтинг 4.9 на Google,Бесплатная отмена,Группа до 6 человек,Индивидуальный маршрут,Трансфер из Тбилиси,{KeyWord:Кахетия тур},Ответ в WhatsApp 15 мин,Дегустация вина,Не агентство а гид,Комфортный автомобиль,"Кахетия от $74: винодельни, дегустация, монастыри. Гид на русском. WhatsApp.",Без переплат агрегаторам. Гид Тимур. Рейтинг 4.9. До 6 чел в группе.,Винный тур из Тбилиси на весь день. Трансфер. Бесплатная отмена за 24 часа.,"3 винодельни, дегустация 10+ сортов, обед. В WhatsApp. Ответ за 15 мин.",,,Responsive search ad,
