фраза,группа,позиция Я 12.09,url,GSC показы 28д,GSC клики
туры в тбилиси,Новая группа,1,/,0,0
экскурсии в тбилиси,Новая группа,1,/,0,0
экскурсии по тбилиси,Новая группа,1,/,2,1
гид в тбилиси,Новая группа,10,/,0,0
частный гид тбилиси,Новая группа,8,/,0,0
ночная экскурсия тбилиси,Новая группа,1,/ekskursiya/nochnaya-ekskursiya-tbilisi/,7,0
старый тбилиси экскурсия,Новая группа,1,/ekskursiya/ekskursiya-stary-tbilisi/,0,0
экскурсия абанотубани,Новая группа,1,/ekskursiya/ekskursiya-abanotubani/,0,0
экскурсия нарикала,Новая группа,1,/ekskursiya/ekskursiya-narikala/,0,0
экскурсия мтацминда,Новая группа,4,/ekskursiya/ekskursiya-mtatsminda/,0,0
прогулка по куре тбилиси,Новая группа,7,/ekskursiya/progulka-po-kure-tbilisi/,9,0
фотосессия в тбилиси,Новая группа,>100,,1,0
арт тур тбилиси,Новая группа,2,/ekskursiya/art-tur-tbilisi/,0,0
шоппинг тур тбилиси,Новая группа,1,/ekskursiya/shopping-tur-tbilisi/,0,0
гастрономический тур тбилиси,Новая группа,3,/ekskursiya/gastronomicheskiy-tur-tbilisi/,0,0
туры в грузию,Новая группа,2,/tury-v-gruziyu/,26,0
экскурсионные туры в грузию,Новая группа,1,/,0,0
авторские туры по грузии,Новая группа,1,/tury-v-gruziyu/,5,0
индивидуальный тур в грузию,Новая группа,1,/,0,0
групповой тур в грузию,Новая группа,1,/grupovye-tury-v-gruziyu/,13,0
многодневные туры по грузии,Новая группа,1,/mnogodnevnye-tury-gruzia/,0,0
горные туры в грузии,Новая группа,2,/gornye-tury-gruzia/,0,0
винные туры в грузию,Новая группа,1,/vinnye-tury-gruzia/,1,0
туры в грузию летом,Новая группа,1,/ekskursiya/tur-gruziya-leto/,0,0
туры в грузию зимой,Новая группа,2,/tury-v-gruziyu-zimoy/,0,0
туры в грузию с детьми,Новая группа,1,/tury-v-gruziyu-s-detmi/,6,0
туры в грузию на новый год,Новая группа,12,/ekskursiya/tur-gruziya-noviy-god/,0,0
тур в грузию 3 дня,Новая группа,1,/ekskursiya/tur-gruziya-3-dnya/,0,0
тур в грузию 5 дней,Новая группа,1,/ekskursiya/tur-gruziya-5-dney/,0,0
тур в грузию 7 дней,Новая группа,1,/ekskursiya/tur-gruziya-7-dney/,0,0
тур в грузию 10 дней,Новая группа,1,/ekskursiya/tur-gruziya-10-dney/,0,0
вся грузия тур,Новая группа,12,/ekskursiya/,0,0
тур грузия армения,Новая группа,10,/ekskursiya/tur-gruziya-armeniya/,0,0
тур на казбек,Новая группа,1,/tury-na-kazbek/,0,0
экскурсия казбеги из тбилиси,Новая группа,1,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,1,0
туры в сванетию,Новая группа,1,/ekskursiya/tur-svaneti-4-dnya/,27,0
экскурсия сванетия из тбилиси,Новая группа,1,/ekskursiya/ekskursiya-svaneti-iz-tbilisi/,0,0
экскурсия местия ушгули,Новая группа,1,/ekskursiya/tur-svaneti-4-dnya/,0,0
туры в батуми из тбилиси,Новая группа,1,/ekskursiya/tur-batumi-iz-tbilisi/,0,0
экскурсия кахетия из тбилиси,Новая группа,1,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,2,0
экскурсия сигнахи из тбилиси,Новая группа,2,/ekskursiya/ekskursiya-sighnaghi-iz-tbilisi/,0,0
экскурсия телави из тбилиси,Новая группа,2,/ekskursiya/ekskursiya-telavi-iz-tbilisi/,0,0
экскурсия мцхета из тбилиси,Новая группа,1,/ekskursiya/ekskursiya-mtskheta-iz-tbilisi/,0,0
экскурсия джвари,Новая группа,2,/ekskursiya/ekskursiya-jvari-iz-tbilisi/,0,0
экскурсия ананури из тбилиси,Новая группа,1,/ekskursiya/ekskursiya-ananuri-iz-tbilisi/,0,0
экскурсия гудаури из тбилиси,Новая группа,1,/ekskursiya/ekskursiya-gudauri-iz-tbilisi/,0,0
экскурсия боржоми из тбилиси,Новая группа,1,/ekskursiya/ekskursiya-borjomi-iz-tbilisi/,0,0
экскурсия бакуриани из тбилиси,Новая группа,1,/ekskursiya/ekskursiya-bakuriani-iz-tbilisi/,0,0
экскурсия вардзия,Новая группа,1,/ekskursiya/ekskursiya-vardzia/,2,0
экскурсия уплисцихе из тбилиси,Новая группа,4,/ekskursiya/ekskursiya-gori-iz-tbilisi/,0,0
экскурсия гори из тбилиси,Новая группа,3,/ekskursiya/ekskursiya-gori-iz-tbilisi/,0,0
экскурсия давид гареджи,Новая группа,3,/ekskursiya/ekskursiya-david-gareji/,0,0
экскурсия дашбаши из тбилиси,Новая группа,6,/ekskursiya/ekskursiya-dashbashi-iz-tbilisi/,0,0
экскурсия трусо,Новая группа,1,/ekskursiya/ekskursiya-truso/,0,0
экскурсия рача из тбилиси,Новая группа,1,/ekskursiya/ekskursiya-racha-iz-tbilisi/,0,0
экскурсия тушети,Новая группа,1,/ekskursiya/ekskursiya-tusheti/,0,0
экскурсия хевсуретия шатили,Новая группа,1,/ekskursiya/ekskursiya-hevsuretia-shatili/,0,0
каньоны западной грузии,Новая группа,1,/ekskursiya/ekskursiya-kanyony-zapadnoy-gruzii/,0,0
тур кутаиси из тбилиси,Новая группа,4,/ekskursiya/tur-kutaisi-iz-tbilisi/,0,0
винный тур тбилиси,Новая группа,2,/ekskursiya/vinniy-tur-tbilisi/,16,0
