url,query,regions
/guria/,гурия,10277|213
/adjara/,аджария,10277|213
/ekskursiya/ekskursiya-mtatsminda/,мтацминда,10277|213
/imereti/,имеретия,10277|213
/ekskursiya/transfer-tbilisi-batumi/,трансфер тбилиси,10277|213
/tury-v-gruziyu-iz-moskvy/,туры в грузию из москвы,10277|213
/ekskursiya/ekskursiya-narikala/,крепость нарикала,10277|213
/kvemo-kartli/,квемо картли,10277|213
/shida-kartli/,шида картли,10277|213
/tury-v-gruziyu-iz-novosibirska/,туры в грузию из новосибирска,10277|213
/tury-v-gruziyu-iz-permi/,туры в грузию из перми,10277|213
/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,экскурсия в кахетию из тбилиси,10277|213
/about/,гид в тбилиси,10277|213
/racha/,рача-лечхуми,10277|213
/tury-v-svaneti/,туры в сванетию,10277|213
/ekskursiya/tur-gruziya-noviy-god/,новогодний тур в грузию,10277|213
/tury-v-gruziyu-iz-mahachkaly/,туры в грузию из махачкалы,10277|213
/tury-v-gruziyu-iz-voronezha/,туры в грузию из воронежа,10277|213
/ekskursiya/khachapuri-master-klass/,мастер-класс по хачапури,10277|213
/ekskursiya/ekskursiya-mtskheta-iz-tbilisi/,экскурсия в мцхету из тбилиси,10277|213
/grupovye-tury-v-gruziyu/,групповой тур в грузию,10277|213
/tury-v-gruziyu-iz-tyumeni/,туры в грузию из тюмени,10277|213
/tury-v-gruziyu-iz-stavropolya/,туры в грузию из ставрополя,10277|213
